Position,Origin
1,https://www.president.gov.ua/news/vitrimati-cej-rik-oznachaye-vitrimati-vsyu-vijnu-zvernennya-88089
2,https://www.president.gov.ua/news/zabezpechiti-postachannya-dodatkovih-sistem-ppo-ta-raket-do-88077
3,https://www.president.gov.ua/news/vdalosya-zvilniti-z-rosijskogo-polonu-ponad-200-nashih-lyude-88073
4,https://www.president.gov.ua/news/same-v-ukrayini-mayemo-dovesti-sho-demokratiyi-zdatni-zahish-88057
5,https://www.president.gov.ua/news/kozhna-sistema-ppo-vzhe-vryatuvala-shonajmenshe-sotni-zhitti-88045
6,https://www.president.gov.ua/news/novorichne-privitannya-prezidenta-ukrayini-volodimira-zelens-88037
7,https://www.president.gov.ua/news/pidpisav-kilka-ukaziv-pro-shanu-dlya-nashih-voyiniv-pro-nash-88033
8,https://www.president.gov.ua/news/nastupnij-rik-stane-chasom-globalnih-rishen-i-ukrayini-potri-88029
9,https://www.president.gov.ua/news/prodovzhimo-posilyuvati-nashu-ppo-i-pracyuvati-nad-tim-shob-88025
10,https://www.president.gov.ua/news/mi-vdyachni-vsim-bijcyam-yaki-vinosyat-cyu-vijnu-na-sobi-zve-88013
11,https://www.president.gov.ua/news/stijkist-sila-ta-rezultati-zaraz-viznachayut-yak-mine-cya-zi-88009
12,https://www.president.gov.ua/news/pracyuyemo-nad-novimi-oboronnimi-paketami-zvernennya-prezide-88005
13,https://www.president.gov.ua/news/bude-pravilno-shob-vijskovi-razom-iz-deputatami-viznachilisy-87993
14,https://www.president.gov.ua/news/zvyazhitsya-z-timi-hto-zaraz-u-silah-oboroni-i-podyakujte-yi-87985
15,https://www.president.gov.ua/news/privitannya-prezidenta-ukrayini-volodimira-zelenskogo-z-rizd-87981
16,https://www.president.gov.ua/news/zavershuyemo-tizhden-naperedodni-rizdva-yakij-zrobiv-nashu-u-87973
17,https://www.president.gov.ua/news/haj-kozhen-rosijskij-lotchik-tochno-znaye-sho-bude-nasha-vid-87961
18,https://www.president.gov.ua/news/zvernennya-prezidenta-do-pracivnikiv-diplomatichnoyi-sluzhbi-87953
19,https://www.president.gov.ua/news/u-peredrizdvyanij-chas-maksimalna-uvaga-zahistu-maksimalna-e-87921
20,https://www.president.gov.ua/news/dyakuyu-vsim-u-chiyih-molitvah-zvuchatime-prohannya-pro-pere-87901
21,https://www.president.gov.ua/news/pracyuyemo-nad-tim-shob-efektivnist-zastosuvannya-droniv-sta-87893
22,https://www.president.gov.ua/news/diya-stane-odnim-iz-servisiv-provajderiv-vidbudovi-ukrayini-87837
23,https://www.president.gov.ua/news/z-pershih-chisel-sichnya-pochnemo-spryamovuvati-novij-rik-v-87829
24,https://www.president.gov.ua/news/golovne-sho-istorichno-mi-viznachilis-ukrayina-zavzhdi-bude-87813
